SnippetId,RevisionType,RevCount
1027460-1,,0
3271018,3,5
3497740-4,,0
4359039,,0
4524111,1,1
7295736-2,4,1
8087366-2,1,2
8087796,,0
8819664,,0
10687971,,0
12483533,2,2
12666409,3,2
13493939-1,3,4
14166964,1,1
15522215,3,2
15599741,2,2
16978220,4,1
17394825-3,,0
17410904,,0
17552715,,0
18175521,3,1
18415021,,0
19195767,,0
19868780,3,5
19889148,3,1
19893013,,0
19894433-1,3,3
19894433-2,3,3
19951359,,0
20779191,,0
21464832,1,2
21467525,,0
22235592,3,1
23194097,,0
23242578,,0
23571875-1,,0
23735596,,0
24758754-6,,0
24758754-7,,0
24758754-4,3,1
24759886,,0
25153311,3,1
25185476,3,1
25219783,1,2
25580526-1,3,3
25580526-2,3,3
25827521,3,1
26807673,1,1
26920512,,0
27732957,3,3
27918518,,0
28450536,1,1
28501330,3,1
28825798,,0
29460225,,0
29984108,,0
30092615,,0
30382989-1,,0
30640671,3,1
31166790,3,3
31507923,,0
31935263,,0
32026716,4,1
32081593,3,2
32597149,,0
32988850,,0
33260205,3,2
33265128,3,4
33325411-1,3,1
33325411-2,,0
33395761-1,,0
33395761-2,3,4
33453961,,0
33570151,,0
33693995,,0
34113238-3,,0
34470137,,0
34503416,1,1
34597599-1,,0
35024024-3,3,1
35530101,3,1
35759510-4,3,8
36174060-2,,0
36190693,,0
36205031,3,1
36208035,,0
36270201,,0
36561669,,0
36561669-2,,0
36691088,3,1
37332650,1,1
37333268,,0
37410779-2,3,2
37424512-3,,0
37425426,,0
37585008-2,,0
37673354-2,,0
38708913,3,2
39667998,,0
40093486,3,2
40451154,3,1
40623487,,0
40713161,2,1
41075677,3,1
41075677-2,,0
41650473-3,,0
41724363-2,,0
41754745-2,,0
41764142,,0
41868368,4,3
41868368-2,4,3
42388182,,0
43418731,4,1
43703784-2,3,2
43789817,3,2
43824307-3,3,1
43824307-6,,0
45267685,3,1
45528409,4,1
46632750,2,1
47358047,,0
47475409,1,1
47719243-3,3,2
48475418,1,1
48557412,3,1
48566767-6,,0
48566767-7,,0
48566767,,0
48603804-3,,0
48603804,,0
48617982,,0
49121546,,0
49191686,,0
49281947-2,,0
49281947,,0
50203306,,0
51088121,,0
51331639,,0
51371901,,0
51425069,3,2
51823413,3,1
51887950,1,1
52560467,4,1
52789041,,0
52990743,,0
53121168-3,1,1
53585255,3,1
53613013,,0
54167315,3,2
54225237-3,,0
54752633-3,,0
55009808,3,1
55400788,3,1
55474761-2,,0
55563201,1,1
56117309,,0
56117309-2,,0
56750328,1,1
56957155,,0
56970006,,0
56970006-2,,0
57455124,,0
57499584-3,,0
57499584-5,,0
57550576,1,1
57875604,3,2
57924560,,0
57924560-2,,0
57924560-3,,0
57924560-4,,0
58042988,,0
58042988-2,,0
58042988-3,,0
58085787,,0
58207225,3,2
58567143,,0
58749107,3,3
58947850,3,1
58951555,4,2
58955278,,0
59245127-2,,0
59462641,,0
59473987,1,1
59687011,,0
59706852-5,,0
59977449,,0
60032006,,0
60032006-2,,0
60032006-3,,0
60375692-3,3,1
60835674,,0
61120511,3,2
61121144,1,1
61655638,,0
61919861,,0
63432587,3,2
63831703,1,1
64792394,,0
64792394-2,,0
64843801,,0
65118028,1,1
65219355,3,1
65299658,,0
65313745,,0
65361590,3,2
65368627-2,,0
65368627-3,,0
65979498,,0
66150505,,0
67259939-4,,0
67369247,,0
67764997,,0
68371366,3,1
69019583,1,1
69019583-2,,0
69019583-3,,0
69517945-4,,0
69525370,,0
69559746,,0
70121268,3,2
43455977-2,,0
34582497-2,3,1
